%SeedNode-ID Local_Cluster_Size
1741235 668950
1388499 114294
1472325 158771
1463254 52345
2140084 110796
968996 40715
392153 109832
667784 668950
912921 668950
415409 158771
483423 158771
827855 151061
509120 668950
2005863 101541
726422 158771
780921 668950
1609923 668950
1681314 83594
2089341 131886
892755 668950
146928 172199
2115313 158771
95175 668950
1233145 110796
564858 40715
768850 83594
2207470 668950
1676118 109832
1679711 151061
1389451 3024
374654 158771
780158 668950
1502032 109832
957440 109832
564030 131886
208598 668950
1796149 668950
1003936 668950
2041873 101541
688255 131886
432317 109832
111927 109832
1962927 151061
633931 26911
721987 131886
751536 42337
950040 668950
512064 101541
397027 26911
2184601 110796
548986 45406
298773 32937
905739 131886
1427766 49019
369158 101541
2207872 151061
1174015 668950
1180107 668950
1438502 131886
427569 668950
1043458 131886
97089 42337
1532757 26911
1152263 80795
109363 67358
691891 668950
1886053 116043
1993214 131886
257043 101541
1064423 668950
579781 67358
2171371 668950
289703 668950
1237726 158771
1382225 116043
497968 114294
2196062 151061
35341 151061
661342 52345
487206 668950
247380 116043
1044458 668950
1564823 668950
697468 668950
1623415 80795
473973 172199
577813 158771
2297542 67358
856553 67358
886577 158771
1300764 67358
1314751 668950
518551 151061
2080457 83594
1835031 42337
303072 668950
2166736 172199
2155639 151061
1502298 668950
759222 668950
