%SeedNode-ID Local_Cluster_Size
3318 863
1990 885
762 863
4124 858
4798 858
4634 858
367 777
706 892
4070 777
786 885
4264 858
1103 777
4857 777
3620 921
1427 921
4720 858
4959 777
1174 858
287 892
798 863
2018 921
838 921
27 892
637 892
2951 858
2661 863
1923 921
4139 885
1536 777
670 892
1236 858
5132 777
665 892
4408 885
4449 858
272 921
5122 858
1577 885
98 892
481 892
239 885
2750 892
3189 892
3104 885
4984 777
3902 777
2221 892
1612 863
2785 921
2294 777
403 858
4160 885
3726 863
3013 858
566 892
4697 858
1457 863
4755 863
3575 858
917 885
2922 921
4578 863
3359 885
622 863
2911 892
2624 892
3617 858
993 885
1640 885
4680 777
3118 863
1266 885
3085 885
2096 858
4323 777
3672 858
4945 858
4457 885
4406 863
2149 777
53 921
4106 858
3365 921
1614 921
2011 858
1764 892
2948 921
2854 885
368 892
2608 858
3946 777
2924 858
108 921
212 858
2879 885
249 921
1845 777
2629 885
2414 858
5060 863
