%SeedNode-ID Local_Cluster_Size
1654 426
1427 426
380 418
1345 298
1926 426
724 818
186 217
1558 418
527 818
1553 298
200 818
684 426
1104 351
1488 818
1999 418
1949 818
298 217
1664 818
1882 298
1307 818
86 180
1340 818
249 180
1181 351
207 818
1557 217
2391 351
1717 418
1394 818
430 351
148 217
2136 426
412 217
2402 418
2403 298
1700 818
2143 818
1975 217
1912 818
983 298
728 418
107 426
1503 426
220 217
596 351
749 217
1998 818
1227 351
1207 418
2287 426
1916 818
2064 426
1404 418
1581 217
1765 426
954 426
162 217
1315 818
1015 426
442 426
867 818
2560 351
1102 180
856 418
2635 298
456 351
1477 818
2518 418
2506 426
905 426
916 818
1346 818
2672 818
1524 818
2067 351
2574 818
1609 180
2501 818
2359 298
465 217
754 818
765 418
2606 818
1991 426
1799 418
424 351
2682 426
332 426
7 818
2484 298
1002 298
738 217
1794 818
561 818
1666 426
1726 180
2051 217
1883 418
2025 426
599 818
