%SeedNode-ID Local_Cluster_Size
4121 888
5197 883
4772 799
242 795
3014 799
1086 801
5352 834
3776 876
7334 888
1482 888
2755 799
5746 856
537 834
5222 834
6106 856
3814 799
4366 888
4624 801
1332 883
3074 799
7100 888
580 834
1116 856
1765 799
2252 799
2323 876
925 888
5173 834
5337 795
2154 799
7292 795
6246 834
1219 876
3650 876
4256 888
6222 888
2817 856
1230 834
2969 799
5328 888
2425 883
1151 799
6983 795
4606 876
5355 795
6143 856
4546 883
5281 843
7305 795
1053 843
918 883
6446 801
4777 888
3175 801
2140 856
3522 843
6906 888
6112 883
5152 799
6524 795
4723 876
6566 856
1811 834
5008 801
5925 888
5921 795
3092 843
833 795
2333 843
1142 876
3257 876
2876 883
1337 883
3260 799
6260 856
4279 856
2700 888
1687 834
5132 876
94 883
1197 883
2235 888
4377 801
6584 888
3565 834
7083 795
4464 843
4576 888
7087 888
4332 801
6963 801
107 801
1229 883
5726 843
5036 834
317 843
5403 888
4136 876
6318 883
5575 856
