%SeedNode-ID Local_Cluster_Size
131174 2828
104501 21406
25891 2358
147136 4958
111831 27321
168892 27321
25643 22187
35686 5862
151322 27321
167814 27321
150292 5862
163680 2076
103628 27321
56564 7867
108565 22187
28106 2877
113216 22187
16332 2358
131062 21406
39415 5862
70836 5862
159808 7869
19352 4958
115330 2828
110366 2080
144748 1257
152605 21406
41283 27321
45865 22187
168050 22187
49888 22187
91782 7869
41907 7869
106135 27321
146103 22187
86544 27321
103353 11814
36612 7869
21817 22187
99220 27321
135475 597
155422 22187
159006 2820
157514 7867
21560 27321
101508 2820
13033 4801
122165 22187
109657 22187
154754 4605
19612 21406
159710 22187
144959 4801
127635 22187
156034 21406
146223 2820
96916 4958
13555 2076
102528 22187
43437 4958
153320 4958
100093 3524
149285 27321
119180 2834
155189 11814
68790 4605
168645 27321
136807 6232
43253 27321
16578 416
146683 22187
39448 1257
165519 21406
151279 22187
134921 27321
132149 4605
29740 6232
695 11814
10455 7867
120385 3524
156436 11814
50677 7867
148823 7867
84799 1618
107237 4801
93412 1271
115729 1257
96239 11814
110867 27321
99209 2834
7629 27321
151689 27321
64680 22187
65991 11814
3205 7869
17668 27321
14979 27321
107666 4605
138024 7869
142726 2029
