%SeedNode-ID Local_Cluster_Size
3610 7739
5673 7875
314 7875
3372 7739
17994 4103
17019 4103
17265 4103
17383 7875
19573 7739
16136 7875
6494 4103
12128 7739
8662 7739
15374 7739
3708 7875
5819 4103
12847 7875
8896 7875
13715 4103
10022 4103
13421 7875
18589 7739
1737 7739
4036 7739
17073 7739
15328 7739
14384 7739
10234 7739
4819 7739
5900 7739
1447 7875
4326 7739
19529 7875
12882 7739
10364 4103
15202 7875
17155 7739
12841 7875
5872 4103
16998 7875
15963 7875
11150 7875
10434 7739
12037 4103
18866 7739
6857 7739
6549 7739
16634 7875
7553 7739
1057 7739
2720 4103
6697 7739
507 7739
13769 7875
986 7875
15816 7739
11821 7739
15578 7875
19181 7739
8243 7739
16826 4103
4453 7875
14545 7739
5336 4103
482 7875
12957 4103
2988 7739
12168 7875
14607 7739
919 4103
1005 7875
16353 7875
13181 7739
19323 7739
18598 4103
18789 7739
2815 7739
19572 7875
10238 7875
5717 4103
213 7875
5080 7875
2619 4103
6753 7875
7033 7875
18601 7875
6755 7739
5133 7739
3068 7875
15147 7739
17190 7875
6630 4103
15570 7739
7836 7875
9371 7875
4812 7739
16329 7875
6571 7739
15142 7739
10576 7739
