%SeedNode-ID Local_Cluster_Size
245412 517640
682111 3662860
454863 1826478
190872 913358
654312 309194
60592 71324
615084 1300447
350684 6325671
550577 1286984
515575 2571205
500249 2208217
112344 505273
201342 646425
505637 1339642
636620 1774819
565549 1559292
333326 1939114
460099 747727
482984 2764570
455271 1807543
32510 2157229
321644 355644
597383 188651
680456 2958686
377540 1243588
11101 1886972
541058 159338
192992 414788
103348 529888
201776 502446
554363 308050
206953 3165693
664064 1090494
99567 1203699
331325 308274
637802 615163
317266 579862
469492 3838738
487818 941198
164816 2032354
242945 971472
55640 1616264
277673 1867388
623603 2196990
697423 156707
225228 1379225
487470 812201
631719 1251893
461527 1114159
54889 810605
591059 2553830
316588 147101
174178 621605
52874 1559038
68150 717298
374484 1325824
513815 1681383
460490 374953
699654 825612
393786 1288914
386186 1695401
380822 967726
705203 2520408
56873 1873150
664775 3723226
235165 2667390
401693 657217
514293 1621844
295709 1326145
375911 2304722
106273 1573434
192614 1759583
494979 159338
168217 1178422
424918 127493
608378 2128050
164774 2437909
143670 1505051
153517 1254933
591174 2956443
534822 808835
227454 163879
613374 2362142
457590 1612576
152776 381814
47619 2145791
426002 502446
670612 374953
328944 1546409
616105 773754
154361 1579511
428658 187976
644613 1218139
523559 4970639
210271 374953
201415 1244486
283099 3078696
471155 2710515
516249 529888
374238 2229493
